title,localisation,price,type_annonce,ad_id,description,url_annonce
Stunning Ragdoll kittens,"Witham, Essex",700.0,Pets,,"* please note I am not receiving emails so please message or call mobile number provided *

I have a stunning litter of pure bred pedigree Ragdoll kittens including one boy and a girl ,

The kittens have been brought up in the heart of my home ( no nasty cages ) they roam free so they are very well socialised and are used to the hustle and bustle of a busy home including all house hold noises ect,

they have been handled from young by myself and my six year old daughter making them confident cuddly little beings to suit any family home.
They are healthy eating well litter box trained / scratch post trained/ upto date with all worming flea treatment ect.

I have their wonderful mum molly here for you to meet, she is our much loved family pet who has a extremely soft gentle nature which she has passed onto her beautiful kittens.

I have uploaded some photos but they really don’t do these kittens justice.. also these little monkeys don’t stay still long enough to get a good photo!

they are all extremely beautiful and extremely loving and affectionate. I would love for these kittens to go to five star homes please so only serious enquiries only please.
I would also love to stay in touch with their new Families which I have done so with all my previous litters , I love to see how they grow and seeing them loved in their new homes.

Please take a look at our social media account which you can find on Instagram - dociledollies_

Please take a look at the highlight ( mollys kittens ) to see all videos from birth up until
Recent of this beautiful litter.

Here you can also take a look at our previous litters their mum and dad and to also get a little insight of how loved and well cared for our cats and kittens are.

*kittens ready to leave end of November*

*blue point girl reserved
*seal point boy available*



Thankyou very much for taking the time to read through my advert. I will look forward to hearing from you.
Lucy.",https://www.gumtree.com/p/cats/stunning-ragdoll-kittens-/1489724607
Blue Eyed - Miniature AussieDoodle – AussiePoo – Australian Shepherd and Poodle Mix,London,1000.0,Pets,,"We welcomed our full breed mini–Australian Shepherd, Bailey’s litter with a miniature Poodle /Lurcher daddy. Initially, we had six adorable puppies, but now only a blue-eyed boy and his two sisters left, Zelda, Smokie and Maggie were born on 07/06/2024. They are now 20 weeks old, very lively, very smart and playful little pups whom are now looking for their forever home.

Smokie has blue eyes, Zelda has light brown/green eyes while Maggie has brown eyes. Very rare, one-of-a-kind pups, they exude a calm demeanour and they shower everyone around them with unconditional love.

These beautiful puppies will stay miniature and grow up to 40-45 cms maximum.

They are raised in our home around children and other pets. Experienced travelling in car, sleep in a crate, regular walks in the park, walking on lead with a collar. They are kept in the house with people, was around other dogs and road traffic noise. Very happy and well-behaved doggies.

All vaccination is up to date, wormed, flead and microchipped.

The blue eyed boy is £1,200
The girls are £1,000",https://www.gumtree.com/p/dogs/blue-eyed-miniature-aussiedoodle-aussiepoo-australian-shepherd-and-poodle-mix/1489492313
Kittens,Edinburgh,50.0,Pets,,I have 4 kittens they’re all litter trained and all of milk and on dry food,https://www.gumtree.com/p/cats/kittens-/1489558739
"gorgeous black rabbits with grey feet,","Bootle, Merseyside",30.0,Pets,1489667779.0,"3 boys and 1 girls left, looking for forever homes, very friendly bunnies, the rabbits fur will go lighter as they grow older like a grey colour like mum. I have mum and dad, dad is a Holland lop and mum is a grey bevernX they are eating and drinking very friendly and like to be held. Must to go loving homes no time wasters
Please.",https://www.gumtree.com/p/rabbits/gorgeous-black-rabbits-with-grey-feet-/1489667779
Stunning colours - Beautiful home reared cockapoo puppies,"Canterbury, Kent",1100.0,Pets,,"My lovely cockapoo has successfully reared her large litter and produced the most gorgeous coloured puppies. Dad is a stunning silver merle miniature registered poodle. All puppies are Vet Health Checked, microchipped, wormed and flea treated. £250 deposit will reserve your selected puppy. (non-refundable).",https://www.gumtree.com/p/dogs/stunning-colours-beautiful-home-reared-cockapoo-puppies/1489539483
Cat milk.,"Southwell, Nottinghamshire",10.0,Pets,1489892062.0,18 cartons of Top Life cat milk 200 ml best before 26th may 2025 ordered by mistake and cannot return them.,https://www.gumtree.com/p/pet-equipment-accessories/cat-milk./1489892062
Staffordshire bull terrier pup 10wks,Aberdeen,950.0,Pets,,Amazing staff full kc reg pup 10 weeks old call for more information top pedigree dog had first jab gets second jab on wed 27th,https://www.gumtree.com/p/dogs/staffordshire-bull-terrier-pup-10wks/1489891918
Bird cages and accessories,"Southampton, Hampshire",100.0,Pets,1489891975.0,Bird cages and accessories all in good condition £100 for everything collection weston,https://www.gumtree.com/p/pet-equipment-accessories/bird-cages-and-accessories-/1489891975
6ft rabbit/guinea pig hutch,"Hull, East Yorkshire",70.0,Pets,1489891899.0,"6ft rabbit/ guinea pig hutch
Excellent condition as pretty much always been undercover/in a stable.
Comes with waterproof thermal cover
Will include a few new rabbit toys too",https://www.gumtree.com/p/pet-equipment-accessories/6ft-rabbit-guinea-pig-hutch-/1489891899
"Parrotfish, sev and JD","Denny, Falkirk",30.0,Pets,1489891292.0,"Parrotfish, giant green sev and JD

All lived together and selling very cheap at £30 for the 3 as want them to go together

Location Denny",https://www.gumtree.com/p/fish/parrotfish-sev-and-jd-/1489891292
Small dog crate,"Kirkcaldy, Fife",20.0,Pets,1489891718.0,"Small dog crate good condition 54cm high, 76 x 48cm collection kirkcaldy",https://www.gumtree.com/p/pet-equipment-accessories/small-dog-crate-/1489891718
Pure Maine coon kittens,"Peterborough, Cambridgeshire",550.0,Pets,,"We would like to introduce you to our lovely maine coon kittens. These kittens are just amazing their parents are healthy and came from top breeding lines including russian lines they are big size if you are looking for a pet that will follow you around and enjoys your company the maine coons are what you are looking for. They are very good with children and other animals. They are happy and love to play. Both parents are pure mainecoons with amazing temperaments Russian line
pedigree active registered and health checked

Please do not hesitate to get in touch if you have any questions and or if you would like to arrange a WhatsApp video
call to meet the kittens and their parents.

We are looking for a forever homes only if you think you could give one of these gorgeous babies a forever home please contact me.

We have kids so they will be adapted to all sounds, they will be litter box trained, two health checks with the vets, two vaccinations, fully weaned to solid foods, fully formed and flea protected

To secure your dream kitten we require £150 non refundable deposit.
The price is without pedigree
The kitten with pedigree will cost 1200£",https://www.gumtree.com/p/cats/pure-maine-coon-kittens/1486726913
Hand reared rainbow baby girl,"Lymington, Hampshire",100.0,Pets,1489890655.0,"This sweet baby rainbow hen is looking for her forever home
Handled daily she will make a wonderful pet
Collection from New Forest",https://www.gumtree.com/p/birds/hand-reared-rainbow-baby-girl/1489890655
